timestamp_utc,timestamp_local,trip_id,trip_sequence,session_odometer,engine_state,drive_phase,rpm,coolant_temp_c,boost_actual_kpa,vehicle_speed_kph,engine_load_pct,throttle_pos_pct,stft_pct,ltft_pct,maf_g_s,intake_air_temp_c,oil_temp_c,battery_voltage_v,baro_pressure_kpa,fuel_trim_sum,boost_target_kpa,boost_delta_kpa,turbo_inlet_pres,oil_pressure_kpa,raw_pid,raw_response,decode_status,sample_tier,fw_version,vin_partial
2026-05-09T15:16:21,2026-05-09T10:16:21,no_trip,1,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:21,2026-05-09T10:16:21,no_trip,2,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:24,2026-05-09T10:16:24,no_trip,3,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:24,2026-05-09T10:16:24,no_trip,4,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:28,2026-05-09T10:16:28,no_trip,5,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:28,2026-05-09T10:16:28,no_trip,6,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:31,2026-05-09T10:16:31,no_trip,7,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:31,2026-05-09T10:16:31,no_trip,8,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:35,2026-05-09T10:16:35,no_trip,9,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:35,2026-05-09T10:16:35,no_trip,10,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:38,2026-05-09T10:16:38,no_trip,11,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:38,2026-05-09T10:16:38,no_trip,12,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:42,2026-05-09T10:16:42,no_trip,13,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:42,2026-05-09T10:16:42,no_trip,14,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:45,2026-05-09T10:16:45,no_trip,15,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:45,2026-05-09T10:16:45,no_trip,16,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:49,2026-05-09T10:16:49,no_trip,17,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:49,2026-05-09T10:16:49,no_trip,18,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:52,2026-05-09T10:16:52,no_trip,19,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:52,2026-05-09T10:16:52,no_trip,20,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:56,2026-05-09T10:16:56,no_trip,21,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:56,2026-05-09T10:16:56,no_trip,22,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:16:59,2026-05-09T10:16:59,no_trip,23,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:16:59,2026-05-09T10:16:59,no_trip,24,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:03,2026-05-09T10:17:03,no_trip,25,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:03,2026-05-09T10:17:03,no_trip,26,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
